Author	Authority	ISNI	QA_Status
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821	ISNIQAPASS
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Hudson, Kerry		https://isni.org/isni/0000000383958566	
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399	ISNIQAPASS
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399	ISNIQAPASS
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399	ISNIQAPASS
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399	ISNIQAPASS
Stewart, James S.,	LCNACO|James S. Stewart	https://isni.org/isni/0000000110065949	ISNIQAPASS
Buchan, John,	LCNACO|John Buchan	https://isni.org/isni/0000000121371562	ISNIQAPASS
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567	ISNIQAPASS
Wallace, William,			
Rainy, Robert,	LCNACO|Robert Rainy	https://isni.org/isni/000000008250179X	ISNIQAPASS
Chalmers, Thomas,	LCNACO|Thomas Chalmers	https://isni.org/isni/0000000121365226	ISNIQAPASS
Newman, David,			
Newman, David,			
Holloway, John,			
Naismith, Scott,		https://isni.org/isni/0000000496933971	
Ramage, Clive,		https://isni.org/isni/0000000512604570	
MacGill-Eain, Somhairle,	LCNACO|Somhairle MacGill-Eain	https://isni.org/isni/0000000120211540	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Gordon, Thomas,			
Walsh, Stephen,		https://isni.org/isni/0000000514371854	
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515	ISNIQAPASS
Lochhead, Liz,	LCNACO|Liz Lochhead	https://isni.org/isni/000000010885237X	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
Hamilton, William,	LCNACO|William Hamilton Sir	https://isni.org/isni/0000000109022108	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
Blair, Hugh,	LCNACO|Hugh Blair	https://isni.org/isni/0000000110270889	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
Spark, Muriel,		https://isni.org/isni/0000000121468612	
Bannerman, Helen,	LCNACO|Helen Bannerman	https://isni.org/isni/0000000083809593	ISNIQAPASS
Wilkins, Frances,			
Fordyce, David,	LCNACO|David Fordyce	https://isni.org/isni/0000000081380922	ISNIQAPASS
